posts/Youtube.md	Youtube		
posts/Website Plans.md	Website Plans		
posts/Please Make D.C. a State Already.md	Please Make D.C. a state already		
posts/PirateSoftware the is summation of the internet.md	PirateSoftware the is summation of the internet		
posts/No car, no Comp.md	No Car, No Comp		
posts/First Post.md	First Post		
posts/Feeling out of place.md	Feeling out of Place		
posts/Cliche of Autistic "Super-Genius".md	Cliche of Autistic "Super-Genius"		
posts/Anime List.md	Anime List		
posts/AI voice.md	AI Voice		
